"","","","","","","","",""," Expression Weightage",""
"","","","16","11","0","1","28","0","",""
"","","","0","2","0","0","2","0","",""
"","","","0","1","0","0","1","0","",""
"","","","17","11","0","1","29","0","",""
"","","","0","106","0","0","106","0","",""
"","","","4","2","0","0","6","0","",""
"","","","0","1","0","1","2","0","",""
"","","","0","2","0","0","2","0","",""
"","","","11","8","1","0","20","0","",""
"","","","0","0","0","0","0","0","",""
"","","","0","2","0","0","2","0","",""
"","","","147","352","0","1","500","18","",""
"","","","26","121","0","1","148","6","",""
"","","","4","2","1","0","7","1","",""
"","","","0","1","0","1","2","0","",""
"","","","0","0","0","0","0","0","",""
"","","","41","80","0","0","121","2","",""
"","","","2","4","0","0","6","0","",""
