Subject Area,Workflow Name,Property Type,Property Value
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_DESCRIPTION,Status of the previous task that is not disabled
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_NAME,$Start.PrevTaskStatus
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.PrevTaskStatus_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_DESCRIPTION,Error code for this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_NAME,$Start.ErrorCode
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorCode_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_DATATYPE,string
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_DESCRIPTION,Error message for this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_NAME,$Start.ErrorMsg
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$Start.ErrorMsg_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_DATATYPE,date/time
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_DESCRIPTION,The time this task started
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_NAME,$s_mp_Claims_Reports_Demo.StartTime
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.StartTime_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_DATATYPE,date/time
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_DESCRIPTION,The time this task completed
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_NAME,$s_mp_Claims_Reports_Demo.EndTime
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.EndTime_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_DESCRIPTION,Status of this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_NAME,$s_mp_Claims_Reports_Demo.Status
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.Status_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_DESCRIPTION,Status of the previous task that is not disabled
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_NAME,$s_mp_Claims_Reports_Demo.PrevTaskStatus
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.PrevTaskStatus_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_DATATYPE,integer
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_DEFAULTVALUE,
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_DESCRIPTION,Error code for this task's execution
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_ISNULL,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_ISPERSISTENT,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_NAME,$s_mp_Claims_Reports_Demo.ErrorCode
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorCode_USERDEFINED,NO
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_DATATYPE,string
Demo,wf_mp_Claims_Reports_Demo,WORKFLOWVARIABLE_$s_mp_Claims_Reports_Demo.ErrorMsg_DEFAULTVALUE,
