Subject Area,Parent Type,Parent Name,Workflow/Worklet,Workflow Name/Worklet Name,Mapping Name,Session Name,Source/Target Instances,Reader/Writer(Session),Session Connection Type = Connection Value,Database Type(Mapping),Source/Target Type,Source/Target Table Name(Original),Property Name,Value,Initial Value From Mapping Parameter
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Tracing Level,Normal,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Source Filter,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Decimal Separator,.,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Select Distinct,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Thousand Separator,,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Column Delimiter,",",
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Remove escape character from data,YES,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Treat Multiple Delimiters as AND,NO,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Optional Quotes,NONE,
MetLife_p2_CSC_GroupLife,Workflow,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,WORKFLOW,wf_STARTRAK_Member_Diary_Delta_Data_Extraction,m_Transfer_SOR_MF_HDFS_TRIGGER,s_m_Transfer_HDFS_Member_Diary_Delta_TRIGGER,sq_Trigger_File_Src,File Reader,None =,Flat File,Source,Trigger_File_Src,Number of initial row to skip,0,
